Record ID,Contact Id,Rating,Date,Survey Name,NPS,CSAT
7814187529,,7,2020-01-29 18:19,Customer Support Survey,Passive,
7791720281,,6,2020-01-29 12:21,Customer Support Survey,Detractor,
7791889663,,7,2020-01-29 11:37,Customer Support Survey,Passive,
7786295691,,7,2020-01-29 08:22,Customer Support Survey,Passive,
7771885931,,6,2020-01-29 01:29,Customer Support Survey,Detractor,
7755352631,21734201,7,2020-01-28 18:14,Customer Support Survey,Passive,
7754021577,,7,2020-01-28 17:07,Customer Support Survey,Passive,
7742780960,,7,2020-01-28 14:32,Customer Support Survey,Passive,
7737659520,,7,2020-01-28 13:23,Customer Support Survey,Passive,
7709437946,,7,2020-01-27 19:33,Customer Support Survey,Passive,
7692797488,,7,2020-01-27 13:07,Customer Support Survey,Passive,
7692515191,21734201,7,2020-01-27 12:47,Customer Support Survey,Passive,
7692617157,,7,2020-01-27 12:45,Customer Support Survey,Passive,
7690548256,,7,2020-01-27 11:38,Customer Support Survey,Passive,
7604197775,,7,2020-01-24 12:42,Customer Support Survey,Passive,
7436051286,,7,2020-01-22 10:57,Customer Support Survey,Passive,
7396500730,,7,2020-01-21 18:09,Customer Support Survey,Passive,
7395638760,22123851,6,2020-01-21 17:26,Customer Support Survey,Detractor,
7328715962,20527001,7,2020-01-19 12:59,Customer Support Survey,Passive,
7284272312,,7,2020-01-17 21:17,Customer Support Survey,Passive,
7283149837,21077451,7,2020-01-17 20:05,Customer Support Survey,Passive,
7164241832,,7,2020-01-15 15:43,Customer Support Survey,Passive,
6977283619,,6,2020-01-10 17:11,Customer Support Survey,Detractor,
6822959224,,7,2020-01-07 18:49,Customer Support Survey,Passive,
6817516633,,7,2020-01-07 16:33,Customer Support Survey,Passive,
6775226236,,7,2020-01-06 19:00,Customer Support Survey,Passive,
6765900893,,7,2020-01-06 16:34,Customer Support Survey,Passive,
6053975260,,7,2019-12-17 11:16,Customer Support Survey,Passive,
5968908157,,7,2019-12-16 13:06,Customer Support Survey,Passive,
5837646266,,7,2019-12-12 18:02,Customer Support Survey,Passive,
5846565067,,7,2019-12-12 17:45,Customer Support Survey,Passive,
5842872126,,7,2019-12-12 12:16,Customer Support Survey,Passive,
5825482496,,5,2019-12-11 19:11,Customer Support Survey,Detractor,
5018662409,21003851,7,2019-12-05 12:08,Customer Support Survey,Passive,
4750350734,,6,2019-12-01 12:05,Customer Support Survey,Detractor,
4717732607,,7,2019-11-29 20:25,Customer Support Survey,Passive,
4694370591,19649151,7,2019-11-28 17:37,Customer Support Survey,Passive,
4690145377,,7,2019-11-28 12:44,Customer Support Survey,Passive,
4164823269,,6,2019-11-25 13:52,Customer Support Survey,Detractor,
4164597806,18655501,7,2019-11-25 13:28,Customer Support Survey,Passive,
4143367907,19826401,6,2019-11-24 09:12,Customer Support Survey,Detractor,
4059550350,,7,2019-11-22 18:51,Customer Support Survey,Passive,
4044716685,14982051,6,2019-11-22 14:49,Customer Support Survey,Detractor,
3882443334,20796751,7,2019-11-21 11:49,Customer Support Survey,Passive,
3879551299,20786651,7,2019-11-21 08:42,Customer Support Survey,Passive,
3834458100,18472151,7,2019-11-20 17:11,Customer Support Survey,Passive,
3779648871,,7,2019-11-19 18:10,Customer Support Survey,Passive,
3695648838,,7,2019-11-18 22:27,Customer Support Survey,Passive,
3691552647,20361651,7,2019-11-18 18:53,Customer Support Survey,Passive,
3585243242,,7,2019-11-15 16:01,Customer Support Survey,Passive,
3584504040,20374351,7,2019-11-15 15:55,Customer Support Survey,Passive,
3472506726,20151151,6,2019-11-14 21:40,Customer Support Survey,Detractor,
3434523789,,7,2019-11-14 02:47,Customer Support Survey,Passive,
3350704585,,7,2019-11-12 11:47,Customer Support Survey,Passive,
3302392305,,7,2019-11-11 23:18,Customer Support Survey,Passive,
3290053131,,7,2019-11-11 21:21,Customer Support Survey,Passive,
3280712534,,7,2019-11-11 17:59,Customer Support Survey,Passive,
3263149325,,7,2019-11-11 14:12,Customer Support Survey,Passive,
3024295068,16249451,7,2019-11-07 14:36,Customer Support Survey,Passive,
3020949147,18613301,1,2019-11-07 12:48,Customer Support Survey,Detractor,
2981530888,,7,2019-11-06 16:57,Customer Support Survey,Passive,
2897212862,,7,2019-11-02 08:38,Customer Support Survey,Passive,
2865045356,,7,2019-11-01 13:02,Customer Support Survey,Passive,
2865314152,,7,2019-11-01 11:09,Customer Support Survey,Passive,
2810272144,,7,2019-10-31 20:18,Customer Support Survey,Passive,
2797174898,,7,2019-10-31 13:36,Customer Support Survey,Passive,
2773870567,,7,2019-10-30 16:58,Customer Support Survey,Passive,
2759862075,20306151,7,2019-10-30 08:23,Customer Support Survey,Passive,
2737076526,,7,2019-10-29 14:37,Customer Support Survey,Passive,
2736954938,,7,2019-10-29 14:35,Customer Support Survey,Passive,
2637987974,20169201,7,2019-10-25 16:05,Customer Support Survey,Passive,
2572340141,20212101,7,2019-10-23 14:29,Customer Support Survey,Passive,
2544270848,16079651,7,2019-10-22 19:54,Customer Support Survey,Passive,
2543964286,,7,2019-10-22 19:07,Customer Support Survey,Passive,
2538565476,20196751,7,2019-10-22 14:14,Customer Support Survey,Passive,
2513514047,,7,2019-10-21 17:35,Customer Support Survey,Passive,
2513325354,,7,2019-10-21 16:55,Customer Support Survey,Passive,
2510345146,,5,2019-10-21 14:17,Customer Support Survey,Detractor,
2383427756,,7,2019-10-17 16:21,Customer Support Survey,Passive,
2382445856,19378251,7,2019-10-17 15:36,Customer Support Survey,Passive,
2349085761,,7,2019-10-16 15:28,Customer Support Survey,Passive,
2345058669,,7,2019-10-16 07:19,Customer Support Survey,Passive,
2321524084,,7,2019-10-15 16:07,Customer Support Survey,Passive,
2268315531,,7,2019-10-14 12:05,Customer Support Survey,Passive,
2267259037,,7,2019-10-14 11:22,Customer Support Survey,Passive,
2220257955,,7,2019-10-11 19:08,Customer Support Survey,Passive,
2215589435,,6,2019-10-11 15:22,Customer Support Survey,Detractor,
2061035704,,7,2019-10-09 14:26,Customer Support Survey,Passive,
2040618685,,7,2019-10-08 18:20,Customer Support Survey,Passive,
2037966567,,7,2019-10-08 14:43,Customer Support Survey,Passive,
2033179518,19955501,7,2019-10-08 06:50,Customer Support Survey,Passive,
2025608480,,7,2019-10-07 17:10,Customer Support Survey,Passive,
2025012621,,7,2019-10-07 16:00,Customer Support Survey,Passive,
2024469303,,7,2019-10-07 14:47,Customer Support Survey,Passive,
1893671468,19877451,6,2019-10-04 14:10,Customer Support Survey,Detractor,
1801132018,,7,2019-10-01 11:41,Customer Support Survey,Passive,
1577297771,,7,2019-09-26 18:45,Customer Support Survey,Passive,
1524075501,,3,2019-09-26 09:34,Customer Support Survey,Detractor,
1413777492,,7,2019-09-25 15:24,Customer Support Survey,Passive,
1221259159,18472151,7,2019-09-24 14:00,Customer Support Survey,Passive,
1085181223,919079,7,2019-09-20 16:05,Customer Support Survey,Passive,
1052181457,,7,2019-09-20 12:53,Customer Support Survey,Passive,
1021888526,,7,2019-09-20 09:53,Customer Support Survey,Passive,
945093551,,7,2019-09-19 14:51,Customer Support Survey,Passive,
872293992,,5,2019-09-18 19:03,Customer Support Survey,Detractor,
859227346,,7,2019-09-17 18:26,Customer Support Survey,Passive,
857978677,16955201,7,2019-09-17 14:59,Customer Support Survey,Passive,
857730711,,7,2019-09-17 14:43,Customer Support Survey,Passive,
857707778,19605101,7,2019-09-17 14:12,Customer Support Survey,Passive,
857656592,,5,2019-09-17 13:40,Customer Support Survey,Detractor,
857364299,,7,2019-09-17 12:27,Customer Support Survey,Passive,
